run_dir,method,scheme,tp,fp,fn,tn,tol_pred_match,tol_pred_total,tol_gt_match,tol_gt_total,valid_pixels,fault_pixels,stem,dice,iou,precision,recall,specificity,tolerant_precision,tolerant_recall,tolerant_f1
CRACKS35,real,inclusive_uncertain,671,78,9529,65548,671,749,1226,10200,75826,10200,section_197,0.12256827107487206,0.06528507491723556,0.895861148185636,0.0657843137254257,0.998811446682565,0.895861148185636,0.1201960784312547,0.21195458867921135
CRACKS35,real,inclusive_uncertain,369,875,13119,71014,369,1244,786,13488,85377,13488,section_204,0.0500950312245112,0.025691011627079513,0.29662379420983426,0.027357651245531318,0.9878284577611335,0.29662379420983426,0.05827402135226996,0.09741091701532782
CRACKS35,real,inclusive_uncertain,232,189,13245,76609,232,421,543,13477,90275,13477,section_213,0.033386098719216155,0.01697643787500587,0.5510688835973617,0.01721451361577709,0.9975389984112871,0.5510688835973617,0.04029086591968517,0.07509148921348564
CRACKS35,real,inclusive_uncertain,491,711,13219,71355,491,1202,816,13710,85776,13710,section_223,0.06585300429180133,0.034047569516653456,0.4084858569017597,0.03581327498173901,0.9901340437930523,0.4084858569017597,0.05951859956231982,0.1038986073252485
CRACKS35,real,inclusive_uncertain,573,186,12334,74318,573,759,1082,12907,87411,12907,section_231,0.08385774915843416,0.043763843274999034,0.7549407114525041,0.04439451460444379,0.9975034897453832,0.7549407114525041,0.08383047958465652,0.15090418417034174
CRACKS35,real,inclusive_uncertain,318,382,9645,73711,318,700,516,9963,84056,9963,section_239,0.05964550314164902,0.030739487675175696,0.4542857142792245,0.03191809695871533,0.9948443172768016,0.4542857142792245,0.0517916290273494,0.09298261237199057
CRACKS35,real,inclusive_uncertain,273,1111,11559,98044,273,1384,473,11832,110987,11832,section_250,0.04131355932200263,0.021092482422915018,0.19725433525869038,0.02307302231235372,0.9887953204577693,0.19725433525869038,0.03997633536169711,0.06647964282889947
CRACKS35,real,inclusive_uncertain,433,833,10387,82799,433,1266,816,10820,94452,10820,section_251,0.0716531524076852,0.03715781343856761,0.3420221169009319,0.04001848428831791,0.9900396977232412,0.3420221169009319,0.07541589648791551,0.12358196004943783
CRACKS35,real,inclusive_uncertain,1047,701,15967,78181,1047,1748,1799,17014,95896,17014,section_256,0.11160857051481099,0.059102455546113965,0.5989702517128206,0.06153755730571204,0.9911133084859676,0.5989702517128206,0.10573645233331036,0.1797428297672149
CRACKS35,real,inclusive_uncertain,521,828,12408,75123,521,1349,812,12929,88880,12929,section_261,0.07297940888074451,0.03787162898885086,0.3862120088926152,0.040297006729027536,0.9890982343878305,0.3862120088926152,0.06280454791549013,0.10803998075376182
CRACKS35,real,inclusive_uncertain,583,816,10598,75087,583,1399,939,11181,87084,11181,section_262,0.09268680445143665,0.04859548220384379,0.41672623302060957,0.05214202665231004,0.9892494367810246,0.41672623302060957,0.08398175476246848,0.13979165685220818
CRACKS35,real,inclusive_uncertain,353,768,9682,77684,353,1121,580,10035,88487,10035,section_267,0.06328433130148504,0.032676108488352604,0.3148974130212766,0.03517688091675617,0.9902105746187491,0.3148974130212766,0.057797708021865665,0.097668830197504
CRACKS35,real,inclusive_uncertain,610,1389,9867,85849,610,1999,1093,10477,97715,10477,section_277,0.09778775248469238,0.051407382437172244,0.30515257628661757,0.058222773694704376,0.9840780393863932,0.30515257628661757,0.10432375680051129,0.1554896330057375
